"Feature_index","HMDB_ID","Metabolite","mz","Priority_score","Status","Module","Anchor","Related_classes","Covaries_with_standard","AVA","qvalue","effect_size","RT","Method"
"798","","",294.6192,0.9724,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",1.9748,0.00239319329037071,6.5317,6.67,"HILIC-neg"
"150","","",345.1704,0.9712,"depleted in IBD",11,"carnosol","Prenol lipids","1",1.2928,0.00202101100639085,6.46,4.23,"HILIC-neg"
"283","HMDB0000921","cholestenone",769.6855,0.9689,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.1946,7.11026393053757e-06,9.4208,7,"C8-pos"
"307","HMDB0002121","carnosol",329.1756,0.9678,"depleted in IBD",11,"carnosol","Prenol lipids","1",1,0.00104094741048206,5.5538,10.79,"C18-neg"
"644","","",411.3509,0.9666,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",2.8053,0.000378004075005714,4.4868,7.5,"C8-pos"
"664","","",217.1952,0.9632,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.1418,3.62346906385593e-07,7.9559,7.5,"C8-pos"
"481","","",345.1704,0.9597,"depleted in IBD",11,"carnosol","Prenol lipids","1",5.5624,0.0087419884474875,6.2214,1.67,"HILIC-neg"
"260","","",271.0038,0.9574,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.1495,1.91069314129478e-05,9.6123,3.71,"HILIC-neg"
"554","","",252.5723,0.9563,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.2134,0.000132190576401301,6.8941,5.78,"C18-neg"
"345","","",361.2018,0.954,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.8071,0.0041529966566107,5.4986,3.58,"HILIC-neg"
"2","HMDB0000251","taurine",124.0072,0.9505,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",1,1.91069314129478e-05,3.5656,3.72,"HILIC-neg"
"174","","",329.1756,0.9413,"depleted in IBD",11,"carnosol","Prenol lipids","1",31.9902,0.0309443946766555,6.6436,3.04,"HILIC-neg"
"691","","",821.7145,0.9402,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0894,1.352955708313e-05,9.2436,7.51,"C8-pos"
"391","","",345.2069,0.9367,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.8476,0.00779402690926331,4.4997,12.61,"C18-neg"
"22","","",295.1208,0.9321,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1391,0.000274942208827439,5.7544,9.66,"C18-neg"
"700","","",353.1725,0.9275,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.2758,0.00741658945059432,4.8305,3.88,"C8-pos"
"858","","",566.2555,0.9241,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.1954,0.00637303794821811,4.9118,3.88,"C8-pos"
"3","HMDB0000251","taurine",126.0218,0.9229,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.2122,4.05972241357923e-05,3.5874,6.1,"HILIC-pos"
"4","HMDB0000921","cholestenone",385.3465,0.9194,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",1,5.79092910247124e-06,2.8048,7,"C8-pos"
"293","","",343.1549,0.916,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.464,0.0139268607287863,4.1754,10.34,"C18-neg"
"277","","",499.3427,0.9079,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0882,0.0010350382502712,4.8932,13.28,"C18-neg"
"725","","",331.1906,0.9068,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.2428,0.00846688587220937,3.866,3.88,"C8-pos"
"516","","",208.9848,0.9056,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.059,0.000456810534782351,6.4718,3.74,"HILIC-neg"
"676","","",206.0102,0.9033,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0531,0.000337890393097238,6.8992,3.7,"HILIC-neg"
"98","","",253.074,0.8976,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.0571,0.00026834307581343,4.9663,5.79,"C18-neg"
"532","","",251.0356,0.8953,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0451,0.000337890393097238,7.6933,6.1,"HILIC-pos"
"734","","",385.3448,0.8941,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.5403,2.03129519937635e-05,2.4971,1.67,"HILIC-pos"
"69","","",376.2467,0.8872,"depleted in IBD",11,"carnosol","Prenol lipids","1",1.2307,0.0480309812647478,4.0738,1.66,"HILIC-pos"
"45","","",126.003,0.8838,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0483,0.000166627451915731,5.0762,3.71,"HILIC-neg"
"372","","",222.0919,0.8815,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.3465,0.0187800909644613,3.4974,1.19,"HILIC-neg"
"294","","",325.0068,0.8803,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",1.042,0.0553919627111623,4.4177,4.54,"HILIC-neg"
"5","HMDB0000921","cholestenone",407.3285,0.878,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.4564,8.6256344088523e-06,2.2933,7,"C8-pos"
"783","","",301.6272,0.8769,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1703,0.0366650323971822,4.3914,6.69,"HILIC-neg"
"846","","",345.1706,0.8746,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.1096,0.0142241658959815,4.1548,8.99,"C18-neg"
"112","","",246.0076,0.87,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1789,0.0312931736816349,3.8474,3.63,"HILIC-neg"
"779","","",125.0105,0.8654,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0277,0.000317073983458353,7.5302,3.71,"HILIC-neg"
"220","","",620.411,0.8642,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.1754,1.352955708313e-05,2.3143,6.99,"C8-pos"
"235","","",294.6192,0.8631,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1181,0.0312931736816349,4.0767,9.78,"C18-neg"
"506","","",294.6192,0.8608,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.041,0.00290728723638058,4.8057,9.98,"C18-neg"
"877","","",345.1706,0.8596,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.2904,0.0405342454020065,3.5006,8.52,"C18-neg"
"528","","",622.4267,0.8539,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0217,1.59947590937046e-05,7.0979,7.47,"C8-pos"
"162","","",295.1207,0.8493,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.4718,0.0413237994807567,2.9787,6.67,"HILIC-neg"
"309","","",124.006,0.8481,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.1006,0.0424490455179572,4.2393,0.75,"C18-neg"
"19","","",285.186,0.8389,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0415,0.0177865275551972,4.3144,10.79,"C18-neg"
"684","","",380.2419,0.8331,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0295,0.00683865495596231,4.4819,1.8,"HILIC-pos"
"519","","",361.2019,0.8285,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.7084,0.0893767347770682,3.6936,3.77,"HILIC-neg"
"887","","",399.3967,0.8193,"depleted in IBD",16,"5alpha-Cholestanol","Steroids and steroid derivatives","1",0.1521,0.075656824815812,3.8025,1.7,"HILIC-pos"
"618","","",453.3371,0.8124,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0946,0.0486079231219243,3.1578,13.28,"C18-neg"
"837","","",387.353,0.7975,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0383,0.000601255128133405,2.2507,7,"C8-pos"
"34","","",409.3351,0.7906,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0154,0.00115182842229721,4.1936,7,"C8-pos"
"743","","",387.3515,0.7848,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0177,0.00173809253868056,3.5096,1.67,"HILIC-pos"
"751","","",416.389,0.7837,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0111,0.00026334346257975,5.6893,6.99,"C8-pos"
"661","","",287.2006,0.7699,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0149,0.00250134933191286,3.6199,4.4,"C8-pos"
"552","","",423.3025,0.7687,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0124,0.00290728723638058,4.1973,6.99,"C8-pos"
"127","","",343.1547,0.7675,"depleted in IBD",11,"carnosol","Prenol lipids","1",4.7627,0.149590021663163,3.9213,3.21,"HILIC-neg"
"33","","",128.0174,0.7491,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0088,5.01374952782399e-05,5.1884,6.1,"HILIC-pos"
"730","","",345.2068,0.7422,"depleted in IBD",11,"carnosol","Prenol lipids","1",7.3049,0.173591348976502,3.8929,3.44,"HILIC-neg"
"845","","",148.0033,0.7227,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0092,0.000991273420564173,3.6339,6.1,"HILIC-pos"
"630","HMDB0000921","cholestenone",443.3997,0.7158,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0075,2.26122538660415e-05,4.8409,7,"C8-pos"
"647","","",413.3761,0.7077,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.1671,0.0157603100273905,0.9424,1.67,"HILIC-pos"
"298","","",411.3605,0.7066,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0778,0.00116147921523125,0.9607,1.67,"HILIC-pos"
"848","","",402.1918,0.7054,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.7256,0.183751984578722,3.3818,8.72,"HILIC-neg"
"862","","",430.4025,0.7031,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0072,0.00025173662960128,6.5956,1.68,"HILIC-pos"
"355","","",315.6426,0.6789,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.1228,0.140831901077432,2.3835,6.51,"HILIC-neg"
"659","","",167.0479,0.6651,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0059,0.000468249873215689,5.3779,6.1,"HILIC-pos"
"558","","",285.1853,0.6502,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.0121,0.0645399669519476,2.293,3.88,"C8-pos"
"429","HMDB0000921","cholestenone",425.3392,0.6456,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.005,2.25343438841832e-05,6.907,7,"C8-pos"
"206","","",398.0316,0.6283,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0047,0.000317073983458353,6.4265,6.1,"HILIC-pos"
"640","","",853.704,0.626,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0045,1.19484711742996e-06,7.9288,7.06,"C8-pos"
"441","","",399.3605,0.618,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0379,0.0570684088763974,0.8434,1.67,"HILIC-pos"
"635","","",331.189,0.6145,"depleted in IBD",11,"carnosol","Prenol lipids","1",1.1714,0.209904706576246,1.5144,1.66,"HILIC-pos"
"278","","",127.025,0.6053,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0042,5.01374952782399e-05,6.0843,6.1,"HILIC-pos"
"396","","",430.4045,0.6018,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0042,1.50087735481771e-05,6.612,7,"C8-pos"
"78","","",484.4149,0.5915,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0037,8.7755193308939e-07,7.7705,6.99,"C8-pos"
"864","","",582.5246,0.5466,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0031,3.41814059146044e-06,7.0266,7,"C8-pos"
"49","","",604.5075,0.5443,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0042,0.029419118234758,3.8049,7,"C8-pos"
"491","","",397.3448,0.5109,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0082,0.0309048192845191,0.7586,1.67,"HILIC-pos"
"625","","",108.0114,0.4948,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0028,0.000317073983458353,5.3642,6.1,"HILIC-pos"
"881","","",580.5087,0.4292,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0019,5.60951024561556e-07,7.5922,7,"C8-pos"
"818","","",221.093,0.4143,"depleted in IBD",11,"carnosol","Prenol lipids","1",0.2548,0.496009093140207,1.8925,1.16,"HILIC-neg"
"288","","",602.4908,0.4131,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0019,0.0159506340564175,4.3374,7,"C8-pos"
"461","","",169.9852,0.3936,"enriched in IBD",21,"taurine","Organic sulfonic acids and derivatives","1",0.0017,0.00121169132278267,4.3585,6.13,"HILIC-pos"
"361","","",383.3311,0.3602,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0017,0.000991393407022003,1.9011,6.52,"C8-pos"
"531","","",475.316,0.3567,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0014,2.00660298910539e-06,7.0119,7,"C8-pos"
"270","","",506.3974,0.3418,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0013,5.01374952782399e-05,6.0162,7,"C8-pos"
"24","","",415.3828,0.3142,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0058,0.434957924266865,0.7589,1.66,"HILIC-pos"
"379","","",405.3128,0.2911,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",0.0011,4.22666812974174e-06,6.4381,6.52,"C8-pos"
"815","","",480.2781,0.2221,"enriched in IBD",26,"tauroursodeoxycholic acid","Steroids and steroid derivatives","1",0.0567,0.74505050787873,1.3221,8.26,"C18-neg"
"137","","",385.1473,0.1703,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",6e-04,1.05529784056474e-05,5.6168,7,"C8-pos"
"843","","",74.0979,0.099,"depleted in IBD",11,"carnosol","Prenol lipids","1",3e-04,0.1472042642582,1.0877,2.98,"HILIC-pos"
"839","","",109.0648,0.0909,"depleted in IBD",7,"cholestenone","Steroids and steroid derivatives","1",2e-04,0.0251877502119393,2.2738,1.68,"HILIC-pos"
"32","","",401.3415,0.0621,"enriched in IBD",7,"cholestenone","Steroids and steroid derivatives","1",6e-04,0.869031342365564,0.1318,6.01,"C8-pos"
